"text","score"
"@elespanolcom @realDonaldTrump Azotan?son patéticos...",0
"@realDonaldTrump Can you please give me a job online. I have epilepsy and cannot work at a normal job. Thank you very much. -- Michael",2
"@FoxNews Why would u post route @realDonaldTrump is taking to Golf course? I never saw a route mapped out for Obama? Why is that? #MSM",0
"@realDonaldTrump @FoxNews @HarveyLevinTMZ Oh, goody. Me. Your favorite subject. To be a good President you need to forget about me (you) !",2
"As the granddaughter of Irish immigrants, I am happy to see my homeland standing up against @realDonaldTrump . Than… https://t.co/2RwdAnwhpb",1
"RT @Willabray5286: @WheredidMaGo @realDonaldTrump @BreitbartNews <U+2194> Look out Obama Clintons we are coming after you MORONS!!",-1
"@SenWarren @MittRomney @realDonaldTrump 

PRETTY SMART AFTER ALL  !!!!!!!!!!!!!!!!!!!!!!!!!

https://t.co/Vyyn6lj7PV …",2
"@BLMehaffey @LouDobbs @realDonaldTrump @FoxNews LOL okay I agree Michigan anywhere would work for me too well except for Flint",2
"@realDonaldTrump I'm a Af/Am women who voted 4 u.Please appoint some1 4 families w/autism/disabilities iv been fighting,schools,gov.4-15yrs.",0
"RT @Jrue616: @realDonaldTrump make American brown again",0
"@realDonaldTrump I'm a Af/Am women who voted 4 u.Please appoint some1 4 families w/autism/disabilities iv been fighting,schools,gov.4-15yrs.",0
"@NPR Boston. Started the 2:00 HR.with @StephenBannon being a ""white nationalist"".@realDonaldTrump we shouldn't support openly biased media.",1
"Ladies &amp; gents, one of the gems in  the crown of .@realDonaldTrump #SteveBannon https://t.co/CogF0DKbkG",1
"@realDonaldTrump when will u realize real life is not a reality show https://t.co/9az7e5CbxD",0
"I want this to be a regular occurrence thu the short-and-dangerous presidency of PEOTUS @realDonaldTrump . He can't get away with hatred.",-1
"@WheredidMaGo @realDonaldTrump @BreitbartNews <U+2194> Look out Obama Clintons we are coming after you MORONS!!",-1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"Time to buy @kanyewest albums/songs for the second time. Gotta show support for his support of @realDonaldTrump",2
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"@EazyMF_E @realDonaldTrump Holy fuck, you are sad.",-3
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"@realDonaldTrump @FoxNews @HarveyLevinTMZ You're so gross.",-1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"RT @gregmcneilly: Democrats for @realDonaldTrump, it's a real thing:",1
"Democrats for @realDonaldTrump, it's a real thing:",1
"@renomarky @realDonaldTrump  Thank You!! Stay Safe and Don't give up the good fight",3
"@bigop1 @realDonaldTrump @FoxNews @HarveyLevinTMZ Someone who, by your pic, doesn't follow flag etiquette? https://t.co/fzfgcpC0oQ XD",1
"@matt_shoreditch @Nicketchum @realDonaldTrump Never. Didn't you hear? The Clintons are ""Good people!"" https://t.co/gPzlrQuJVM LOL.",1
"@playdoh52 @seanhannity @realDonaldTrump Oh yeah, because all ""Liberals"" are the same.  Does that mean that all Trump supporters are alike?",1
"@hibaakaiko @HelmHelmparm @jim72182 @realDonaldTrump then what you waiting for<ed><U+00A0><U+00BE><ed><U+00B4><U+0094>",0
"MARKET GOING THRU ROOF B/C OF @realDonaldTrump MUCH TO THE CHAGRIN OF @CNBC &amp; THE REST OF LOW LIFE @MediaBuzzFNC CNN ABC NBC @detroitnews",-1
"@realDonaldTrump @MarkDice https://t.co/XOHyKViR3H",0
"@auddawg, @kanyewest supports @realDonaldTrump because they wouldn't let him in the #ClintonCocaineFoundation for #spiritcooking night'",1
"@realDonaldTrump Trump told Coco-Cola to keep it a dark syrupy soda thus saving Soda Industry - #TrumpsFakeNews #NeverTrump #TrumpsARacist",0
"Why is everybody freaking out that Donald is appointing ass kickers to his team. He basically said he would do this! @realDonaldTrump",-1
"Tell @realDonaldTrump: condemn all acts of bigotry and intimidation against children. Visit https://t.co/IaNZA3AETq #StandUpToIt",-3
"@realDonaldTrump @FoxNews narcissistic sexist racist megalomaniac white nationalist and the network you rode in on!",-1
"@realDonaldTrump I would consider calling on you Mr. Trump, but I don't have your number.",0
"Tell @realDonaldTrump: condemn all acts of bigotry and intimidation against children. Visit https://t.co/ZAHxL64sto #StandUpToIt",-3
"@politico @realDonaldTrump And why didn't he vote?",1
"@transition2017 @realDonaldTrump Terrible choice for AG. You reap what you sow.",-1
"@SenWarren @MittRomney @realDonaldTrump 

GET A LOAD OF THOSE NUMBERS....  AND EAT YOUR HEART OUT !!!!!!!!
https://t.co/rut6gRuDgf",0
"@douglasblackmon @realDonaldTrump @evanperez @JoyAnnReid ... well, it takes forever to get things up to the SCOTUS. In the meantime...",1
"@realDonaldTrump @FoxNews @HarveyLevinTMZ no thanks, we already know more than we care to know. shame on Harvey Levin.",-1
"Want to save a quick $20 billion in healthcare? https://t.co/q1Vzb3OmH3
@realDonaldTrump @MIHouseGOP @MIHouseDems #CRNA #SB1019",1
"RT @foolish123: @realDonaldTrump is paying #Huge Dividends. 

#MAGA is a Full Go!

Ford announced they will NOT be leaving in 2019!

https:…",-2
"@realDonaldTrump Sir, is Gen Maddog Mattis really meeting with you? As a Marine vet I find great joy in this!!! OohRah",2
"@realDonaldTrump     NO Donald.   You did not get Ford to change it's mind about moving to Mexico!
 https://t.co/N1hujziyBU via @CNNMoney",-1
"RT @Jrue616: @realDonaldTrump make American brown again",0
"@DemonTwoSix @kupajo322 @realDonaldTrump @BarackObama I thought so.  I watched the actual video.",0
"@DrSchadNFreude @SarahKSilverman @realDonaldTrump if you think Trump's plan to up tariffs on imports from Mexico wasnt influence UR stupid",-1
"@FoxNewsInsider @FoxNews @HarveyLevinTMZ @foxandfriends @realDonaldTrump @SteveDoocy @ainsleyearhardt @edhenry saw a clip this am can't wait",0
"@realDonaldTrump you didn't do anything.  There were no plans to close Louisville Assembly.  Btw not a ""Lincoln Plant"".  Escape and MKC",-1
"@SenWarren @MittRomney @realDonaldTrump hey Lizzy, what tribe are you from again. The imafakenativeamaerican tribe? NO credibility lady",0
"@SarahPalinUSA for Secretary of the Interior with @realDonaldTrump and @transition2017 !  Drill Baby, Drill! https://t.co/8R8T94L6R7",0
"@realDonaldTrump   You have been told that over and over again starting 3 months ago. Don't pretend now that this has anything to do with u.",-3
"@realDonaldTrump @FoxNews @HarveyLevinTMZ Will there be pussy grabbing and nude pageant contestants?",0
".@JhLukky1 @kupajo322 @realDonaldTrump @BarackObama Could be viewed as using public office to incite riot/violence/rebellion.",-1
"@larryelder @realDonaldTrump @Voivode_ 

GET A LOAD OF THOSE NUMBERS....  AND REJOICE !!!!!!!!!!!!!!!! 

https://t.co/rut6gRuDgf",1
"@nytimes hey! More jobs in Michigan in 2017. Bet he takes credit for that too! @realDonaldTrump #notmypresident",1
"@realDonaldTrump Haha! You still believe you're in the entertainment biz #notmypresident",0
"@realDonaldTrump Were @MELANIATRUMP &amp; @IvankaTrump breast implants made in US or China? The people have a right to know.",2
"RT @foolish123: @realDonaldTrump is paying #Huge Dividends. 

#MAGA is a Full Go!

Ford announced they will NOT be leaving in 2019!

https:…",-2
"@realDonaldTrump Gen James Mattis would be the perfect pick as our country's Sec of Def.  The greates general of my generation. #Mattis",3
"@kupajo322 @realDonaldTrump @DemonTwoSix  How is @BarackObama legally tell anti-trump protesters to not remain ""silent""?  Isn't that ILLEGAL",-1
"@PaulWilko657 @LouDobbs  I hope @realDonaldTrump reads this.  We need to take a hard line with all immigration, and reject all refugees.",0
"@USA1Trump @realDonaldTrump @MittRomney   Dont cause yourself a bunch of worry.why don't you just wait and see Trump knows what he's doing",2
"So #KanyeWest came out in support of @realDonaldTrump. All that money and he sells out harder than @Metallica in the late 90s. Damn yo.",0
"@DawnSeekUp41 @lispod1966 @ReutersBiz @realDonaldTrump  then that's just ignorant.",0
"@AC360 @Acosta @CNN @realDonaldTrump  You were totally dishonest you deserved it, It was apparent you and MSNBC were totally shilling 4 HRC",-1
"RT @PatrickJLavin: @Varneyco @realDonaldTrump @MittRomney no, he's part of the swamp! An insider for the Democrats.",-1
"@realDonaldTrump @FoxNews  Can't wait for the victory tour rally's! Don't forget Michigan! #seeyousoon Freedom Hill  rally was the best!",3
"@realDonaldTrump I don't think the plant was ever leaving. So, uh, good work?",2
"@lispod1966 @ReutersBiz @DawnSeekUp41 @realDonaldTrump Trump has no control of what goes on in Germany. <ed><U+00A0><U+00BD><ed><U+00B8><U+0092>",1
"RT @stophrtngusa: @KeithOlbermann @EndCrueltyNOW @realDonaldTrump https://t.co/ZGwBYUac00",0
"@realDonaldTrump @jasoninthehouse @justinamash @TimWalberg @RepLawrence #CDCwhistleblower OGR Committee Hearing Now! https://t.co/cxINmsl1Sw",0
"@FoxNews @johnlegend @realDonaldTrump that's his opinion but trump didn't buy election like every other prez in past! America spoke!",1
"@MailOnline @realDonaldTrump @MittRomney Please find a way to work this out! This is a human tragedy. Safe zone? Russia to cooperate!?",2
"@realDonaldTrump @FoxNews @HarveyLevinTMZ FNC officially has become state run media.  What a shame.",-1
"@realDonaldTrump @FoxNews @HarveyLevinTMZ trust fund baby in chief",1
"RT @gregmcneilly: Is @realDonaldTrump the GOP FDR? https://t.co/0q0GKeoLYm",0
"@realDonaldTrump It's fine choosing a diverse crew but #Romney is a mistake, period. He's too much of a weasel - it would never last.",-1
"@Varneyco @realDonaldTrump @MittRomney no, he's part of the swamp! An insider for the Democrats.",-1
