"text","score"
"@ddale8 @realDonaldTrump I can't find anything about a closing. Maybe it was, now it's not &amp; was again, lol",-1
"@realDonaldTrump you rock!",0
"@scotthaas27 @realDonaldTrump @theyucatantimes Well gosh my shipments are gonna be a mess, they told us Kentucky. Think I'll believe my boss",0
"@muzikgirl11 @FLGovScott @realDonaldTrump - Two great patriots!!!",1
"@realDonaldTrump stop all announcements get your picks in order and just do it. Ef all of their push back.… https://t.co/GK25nXiwow",1
"@scotthaas27 @realDonaldTrump @theyucatantimes Kentucky plant stays.",0
".@realDonaldTrump Rolling back taxes and regulations will make it possible for them to stay there.",1
"@realDonaldTrump Can we ban CAIR too, while we're at it? Unindicted co-conspirator in Holy Land trial for funding of terrorist group Hamas.",0
"@scotthaas27 @realDonaldTrump @theyucatantimes Wrong article. This is about the Michigan plant, not Kentucky.",-2
"@FrancUnderW @realDonaldTrump  - you know this decision was not related to Trump, right? Why would we be upset that Trump lied again?",0
"@realDonaldTrump The 24-hour news cycle will twist and squeeze your tweets like a wet rag! Tread carefully, Donald. https://t.co/zFgMwI3TRu",0
"@realDonaldTrump Will you pls reinstate the 700 docs &amp; 300 presentations axed from @FBI counter terrorism training re; Islamic terrorism?",-2
"@realDonaldTrump Shall we get the tape? https://t.co/iNAlXolicW",0
"@realDonaldTrump Good stuff Mr Trump!",2
"Exactly. I thought we elected @realDonaldTrump  to DRAIN the swamp,  not fill it. https://t.co/Uec5QFl85K",-3
"@realDonaldTrump A true leader, taking credit for things you didny do. Sad, bigly.",-1
"@RebootLukeYT @realDonaldTrump Michigan loves him.",1
"@ddale8 Lincoln MKC I assume would have gone w/ rest of small car production to MX @realDonaldTrump https://t.co/XLC0F5pFux",0
"RT @Disciplelady333: @realDonaldTrump this guy is part of the bottom of the swamp we want you to drain. What's with this crap? https://t.co…",-3
"@realDonaldTrump https://t.co/rmR5DtV5BS",0
"@jim72182 @realDonaldTrump No. We need him.",0
"@FoxNews @MittRomney biggest mistake @RealDonaldTrump could possibly make. His following will be very upset.",-2
"Well.@realDonaldTrump. shall we play the tape? https://t.co/K8N9bdmYV4",0
"@realDonaldTrump Wonderful news!!",3
"@realDonaldTrump #lovetrumpshat",0
"@realDonaldTrump ford had no Intention of leaving, you already conned America you can quit lying now.",-1
"@realDonaldTrump <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>",0
"@realDonaldTrump #DontheCon",0
"@cuppajo7 @silence_above @realDonaldTrump https://t.co/ofMBtlqwob",0
"@realDonaldTrump <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>",0
"RT @Jrue616: @realDonaldTrump make American brown again",0
"@cuppajo7 @silence_above @realDonaldTrump people don't know how to take a damn joke lol",-2
"@realDonaldTrump YOUR DILLUSIONAL",0
"@ddale8 @realDonaldTrump he has no clue, truly",0
"@pink_lady56 @realDonaldTrump unbelievable",-1
"@tayIorhq @realDonaldTrump kindness Matters",1
"@realDonaldTrump you killory supporters still have your head up your asses JC",0
"@realDonaldTrump this guy is part of the bottom of the swamp we want you to drain. What's with this crap? https://t.co/R11cWWCfUg",-3
".@realDonaldTrump .My liberty is my pursuit of happiness. I like vaping.  I am not responsible for what other parent's kids do! #vape",2
"@footballshell @MittRomney @realDonaldTrump in the swamp",-1
"Say what you will about Justice Scalia, but man this is prophetic.From 2014 @realDonaldTrump @joerogan @DustinNosler https://t.co/aSRpaCeSeR",-1
"@realDonaldTrump How about your ties, big guy? And Ivanka's shoes...",0
"@DiamondandSilk @realDonaldTrump Amazing news ladies!",3
"@realDonaldTrump https://t.co/JqGYxCBCKe",0
"@pamylabean @MittRomney @realDonaldTrump he's a traitor",-1
"RT @Hesiod2k11: Please produce your long form IQ scores MT @realDonaldTrump: Sorry losers and haters, but my I.Q. is one of the highest -&amp;…",-4
"@tayIorhq @realDonaldTrump You First!",1
"@realDonaldTrump fly golden pheasant fly!!! https://t.co/aS6CNTf7w3",1
"RT @Jrue616: @realDonaldTrump make American brown again",0
"RT @BernadetteStoll: #Clinton pedo files, they are not good people. https://t.co/13NnfatTCT @realDonaldTrump #Trump",1
"@realDonaldTrump Romney is out!",0
"@realDonaldTrump and it begins...good job.",0
"@realDonaldTrump Don't make us listen to the ""talking heads"" to hear your announcement of your cabinet.  We're waiting anxiously to hear.",-1
"RT @DavesGrill: Thank you #DirtyHarry @EastwoodUSA #TrumpPresident @realDonaldTrump #MAGA https://t.co/9lqMCrkn4q",1
"@realDonaldTrump very nice with something up his sleeve. Don't let him fool you. He's not your friend. You have loyal people to use.",0
"@realDonaldTrump make American brown again",0
"@FoxNewsInsider @krauthammer  @realDonaldTrump @SpecialReport why would they trust him? He didn't give President Truman one good word.",2
"@MyWillAlone @MarthaVineyard4 @US_Army_Vet @tteegar @LeahR77 @JustKate038 @realDonaldTrump @LiberalsareIcky @rodeorosary  Now we're talking!",0
"@realDonaldTrump @POTUS she's the least qualified individual to ever be in public office! https://t.co/ohJNICG86S",1
"RT @meandmorningjoe: Dear @MarkHalperin and @jheil, With All Due Respect.....you're fired!

#wadr @bpolitics @realDonaldTrump  @TheFive @ru…",1
"@KarenConroy12 @stribs @realDonaldTrump Ab60 IDs are completely different than standard identification cards. https://t.co/GuzmQc28Me",0
"@realDonaldTrump want to make America safe.unsafe per racist crimes since https://t.co/X415THEC3A soon will u speak 2it?",-1
"#Clinton pedo files, they are not good people. https://t.co/13NnfatTCT @realDonaldTrump #Trump",1
"RT @gregmcneilly: The @realDonaldTrump impact on Apple?  Made in the USA!!! https://t.co/k54caaiJ4v",0
"@VanJones68 - @realDonaldTrump should nominate a strong, ethical person as #AttorneyGeneral. Someone who will root out the liberals in DOJ.",2
"RT @lovemytrout: #NOHALEY #NOROMNEY help me get this trending so @realDonaldTrump see it..",1
"RT @lovemytrout: #NOHALEY #NOROMNEY help me get this trending so @realDonaldTrump see it..",1
"@CNN @KellyannePolls @realDonaldTrump @MittRomney @CNNPolitics PLEASE LET ME  BITCH SLAP HER !!! PLEASE !!!",-4
"RT @debfinley46: @realDonaldTrump you need to lock this evil guy named #Soros up as soon as possible make #America great again get rid of h…",0
"RT @lovemytrout: #NOHALEY #NOROMNEY help me get this trending so @realDonaldTrump see it..",1
"@realDonaldTrump you need to lock this evil guy named #Soros up as soon as possible make #America great again get r… https://t.co/0f9QiyUwPU",0
"RT @gregmcneilly: The @realDonaldTrump impact on Apple?  Made in the USA!!! https://t.co/k54caaiJ4v",0
"RT @gregmcneilly: The @realDonaldTrump impact on Apple?  Made in the USA!!! https://t.co/k54caaiJ4v",0
"I'm proud to say @realDonaldTrump.... Trump is my president https://t.co/JOg1pUa8TQ",2
"RT @hergert_adam: @Jacksgirl5 he should just go on vacation till president @realDonaldTrump takes over!! That way he can't fuck anything up…",-3
"RT @gregmcneilly: The @realDonaldTrump impact on Apple?  Made in the USA!!! https://t.co/k54caaiJ4v",0
"@SteveDeaceShow @realDonaldTrump  I'm still skeptical about what the con man will do.  But early returns are promising. Time will tell.",-2
"@pjackson_nl @nytimes @MrsS0S @realDonaldTrump Since u r from NL Canada - That liberal bastian out there has destroyed that Province.",0
"@pjackson_nl @nytimes @MrsS0S @realDonaldTrump U want to believe the NYT go 4 It. I don't like being indoctrinated. Keep that brain mashed",0
"RT @all1Dfacts: ""@realDonaldTrump: TODAY WE MAKE AMERICA GREAT AGAIN!"" https://t.co/6uiC8Fbmub",1
"RT @dlb03_: #stopcommoncore NO Moskowitz or Rhee! #EversforEd! @BretBaier @Reince @realDonaldTrump https://t.co/1RUknn503A",0
"@davidaxelrod @lowkell @realDonaldTrump wahhhh",0
"RT @lovemytrout: #NOHALEY #NOROMNEY help me get this trending so @realDonaldTrump see it..",1
"@alexdostom @PatriotGeorgia @cvpayne @MittRomney @realDonaldTrump Romneys religious beliefs wasn't accepted by most people.",0
"The @realDonaldTrump impact on Apple?  Made in the USA!!! https://t.co/k54caaiJ4v",0
"@realDonaldTrump You passed the test!Mitt Romney?You have class!Perfect signal for the entire country!SMART MOVE! Romney- Secretary of State",0
"RT @lovemytrout: #NOHALEY #NOROMNEY help me get this trending so @realDonaldTrump see it..",1
"Today I spoke about @realDonaldTrump’s decision to hand over the government to the... https://t.co/yHt37NB6C0 by #SenWarren via @c0nvey",-1
"RT @RobStickney: @Nationalist1776 @realDonaldTrump @transition2017 @MittRomney @Cernovich @DanScavino keep your friends close but your enem…",-1
"@crimsonluhan WHEN DID YOU BECOME @realDonaldTrump",0
"@Nationalist1776 @realDonaldTrump @transition2017 @MittRomney @Cernovich @DanScavino keep your friends close but your enemies closer",-2
"@realDonaldTrump @KellyannePolls",0
"RT @K_Klochko: @realDonaldTrump I tell fellow Millennial Feminists why I voted for you at https://t.co/zNZ8nvkH98!! #maga",0
"@trumpaboard @obamathedumma @GovMikeHuckabee @realDonaldTrump #Huckabee4SOS",0
"#NOHALEY #NOROMNEY help me get this trending so @realDonaldTrump see it..",1
"@LouDobbs @realDonaldTrump <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D> on Flynn...but Noooooo on Romney!! He's the poster child for the ""establishment""",0
"@davidaxelrod @OFDHILLARY2016 @realDonaldTrump @D_G_Alexander Well David, how much did you do help Clinton win?",3
"@LouDobbs @realDonaldTrump Great choice for the country",1
"It's why he is getting a position that doesn't require senate approval. @RJSantarelli @AP @realDonaldTrump",1
"@realDonaldTrump No 2 romney Big Hell No 2 Nikki Haley she hates our history and wants to make it offensive so she can bann it..NO NO NO NO",-2
"@realDonaldTrump only one way to fix 'Merica now #militarydraft #defeatISIS #makeamericagreatagain https://t.co/ojY5RMd9hh",0
"RT @DeniceSDP: @transition2017 @realDonaldTrump Parents Urge Trump Appoint Anti-Common Core Education Secretary -https://t.co/0acsR4Q9gd vi…",2
"Tell @realDonaldTrump: condemn all acts of bigotry and intimidation against children. Visit https://t.co/phW7zudpkY #StandUpToIt",-3
"@thehill I hope @realDonaldTrump doesn't give him this job. @TGowdySC would be the greatest Pick for AG. if this is fact, it stinks",1
"@MastrJedi Huh??!!
@douglasblackmon @JoyAnnReid @realDonaldTrump @evanperez",0
"@sayanythingblog please can't @RepKevinCramer become @realDonaldTrump's energy czar and disappear? https://t.co/nyhaSMS3HT",0
"Showed my dogs picture of Soros and they started fighting. Showed them picture of Trump and they calmed right down! @realdonaldtrump",1
"@greentacos4me @tasteofaz @LouDobbs @realDonaldTrump @lh_carter @tony4ny or nikki haley",0
"@realDonaldTrump don't take any advice from #henreykissinger #draintheswamp",0
"@FoxNews  @POTUS tells @realDonaldTrump to not take the presidency too casually. ...from a president who played golf more than he worked.",0
"@realDonaldTrump remember it is the PEOPLE of #OHIO not the Governor who was incredible. Hopefully they get rid of @JohnKasich",0
"@realDonaldTrump  the Wall you're not going to build and the jobs you're not going to bring back and the lobbyists you lied about firing",-2
"@realDonaldTrump what's unfair you fucking faggot is how you treat other people please just kill yourself",-1
"@realDonaldTrump we the people elected U. @MittRomney is an establishment liberal RINO. NO to any cabinet position. NO to SEC OF STATE.",0
"@ameripundit @realDonaldTrump amen!!",0
"@trumpaboard @GovMikeHuckabee @realDonaldTrump now that I can agree with",0
"@LawlessPirate @realDonaldTrump me either...Mitt is an ass.",0
"@realDonaldTrump Words of Wisdom by Gandhi Still Ring True Today! https://t.co/qqHzqHAGjy",1
"RT @henery8th: WHILE UR HOLDING @realDonaldTrump ACCOUT. I SUGGEST U EXPLAIN 2 UR FANS HOW U BOUGHT THAT 600,K VACATION HM W/NICHOLS &amp; DIME…",1
"@SenWarren @iJesseWilliams @realDonaldTrump so you're saying that he's still being who we thought he was?",0
"@realDonaldTrump I tell fellow Millennial Feminists why I voted for you at https://t.co/zNZ8nvkH98!! #maga",0
"@BuzzFeed Great News!! see you in Michigan @realDonaldTrump .... Please make your stop in Detroit metro area...Macomb County",1
"@CyLyBu @realDonaldTrump No, but I believe Sen Jeff Sessions whom I watched say that Romney is meeting with Trump and being vetted ;-)",0
"@xPiya @realDonaldTrump  And if you don't like the laws that allowed him to claim his losses, then change it. Silly sheep ;-)",-1
"@xPiya @realDonaldTrump He did pay his taxes media sheep ;-) All business owners pay more than the average person.",1
"@almac8241951 @realDonaldTrump @CNBC confirm that Romney is being vetted like others :-(",1
"@almac8241951 @realDonaldTrump @CNBC No, BS. Watched Jeff Sessions confirm it on Fox Biz an hour ago.",-1
"This bird is world famous because people think he looks like @realDonaldTrump. READ: https://t.co/UTqhyNwxPh by #FoxNews via @c0nvey",2
"@realDonaldTrump  No Romney!",0
"@BarbaraBoxer @HillaryClinton how many illegals voted?? @realDonaldTrump won 30 out of 50 states just becuz you don't like Middle America <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>",3
"@TheAdvocateMag How many of them are going to fill cabinet positions under @realDonaldTrump ?  XD",0
"RT @lovemytrout: @realDonaldTrump we say NO to #NikkiHaley we remember what she did to our confederate flag &amp; started dismantling our histo…",0
"@SenWarren @SarahKSilverman @realDonaldTrump hahaha you suck",-1
"RT @Willabray5286: @Andromodid @LorenceHud @realDonaldTrump @corrigan_ryan @TOR_ONT_O  Sheila when is the election?",0
"RT @lovemytrout: @realDonaldTrump we say NO to #NikkiHaley we remember what she did to our confederate flag &amp; started dismantling our histo…",0
"@mcuban @AlBoeNEWS @cahulaan  @realDonaldTrump So many legitimatebrilliant minds in US 2 choose fromStop picking hacks #GlobalWarmingIsReal",-1
"@realDonaldTrump can I be in your cabinet?",0
"I can't imagine that @realDonaldTrump was doing anything but trolling Mitt Romney by inviting him over. Romney is dumb as dirt.",-4
"@blustarchild @realDonaldTrump https://t.co/G4gH9ohv6C",0
"RT @Travelmimi222: @kupajo322 @Alwaleed_Talal @jack @POTUS @georgesoros @CFR_org @realDonaldTrump We need #TrumpTV Stop the lies and expose…",-1
