"text","score"
"@realDonaldTrump @FoxNews @HarveyLevinTMZ First time in 12 years I'm proud to call a man,""YOU"" my president.",2
"@realDonaldTrump @FoxNews @HarveyLevinTMZ First time in 12 years I'm proud to call a man,""YOU"" my president.",2
"@realDonaldTrump what happened to your tweet about your hard work to not close down the plant? I want to laugh again! #PANTSONFIRE",-3
"LAWD<U+203C><U+FE0F><U+203C><U+FE0F><U+203C><U+FE0F> @realdonaldtrump got everybody going crazy <ed><U+00A0><U+00BD><ed><U+00B8><U+009C> Who's Granny is this <U+2753><U+203C><U+FE0F>#younameit… https://t.co/cbQ96pBJCH",0
"@realDonaldTrump screw @MittRomney, he's just another asshat politician, make me secretary of state!",1
"Based on policy and his cabinet asking non #Trumpers to give @realDonaldTrump a ""chance"" is absolutely rediculess.  #Aftermath #TRUMP",1
"For I AM , thus I ride 217 on 11-17 - do you understand ? @realdonaldtrump @cnbc @bbcafrica… https://t.co/YOA4Sv6LVx",0
"@realDonaldTrump @FoxNews @HarveyLevinTMZ First time in 12 years I'm proud to call a man,""YOU"" my president.",2
"How @SpeakerRyan handles infrastructure will go long way in determining whether/how @realDonaldTrump reshapes Republican Party.",0
"Among the fascinating things to watch in '17: How a von Mises @SpeakerRyan handles a Keynesian @realDonaldTrump &amp; his infrastructure ideas.",1
"@HarveyLevinTMZ ""Why not shoot for the top to prove a concept? .asked 2 people #hillaryclinton &amp; @realDonaldTrump - she said no he said yes""",0
"So, @realDonaldTrump is lying AGAIN!  Ford NEVER had plans to move Lincoln MKC prod to Mexico!",-1
"@scotthaas27 @realDonaldTrump Ford said it never affected jobs anyway. Still moving Production of focus to Mexico.",1
"Don't tweet anything crazy @realDonaldTrump...The <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> is <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> U now...",-1
"I got my @realdonaldtrump socks in today that I ordered for when I run stjude Memphis Marathon… https://t.co/uFpZarkAFg",1
"How @SpeakerRyan handles infrastructure will go long way in determining whether/how @realDonaldTrump reshapes Republican Party.",0
"Among the fascinating things to watch in '17: How a von Mises @SpeakerRyan handles a Keynesian @realDonaldTrump &amp; his infrastructure ideas.",1
"@scotthaas27 @realDonaldTrump Ford said it never affected jobs anyway. Still moving Production of focus to Mexico.",1
"@scotthaas27 @realDonaldTrump Ford said it never affected jobs anyway. Still moving Production of focus to Mexico.",1
"I blame @realdonaldtrump for my #caseofthemondays. CURSES! *shakes fists to the sky* MOTHER OF… https://t.co/Mnf5lgJiWc",-2
"How @SpeakerRyan handles infrastructure will go long way in determining whether/how @realDonaldTrump reshapes Republican Party.",0
"Among the fascinating things to watch in '17: How a von Mises @SpeakerRyan handles a Keynesian @realDonaldTrump &amp; his infrastructure ideas.",1
"Don't tweet anything crazy @realDonaldTrump...The <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> is <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> U now...",-1
"enjoying last year before @realDonaldTrump forces @Starbucks to put #merrychristmas on their… https://t.co/u9f1c91df5",1
"@realDonaldTrump mr. President elect, please look at putting technical training centers in inner cities. We can train anyone or career.",0
"@realDonaldTrump screw @MittRomney, he's just another asshat politician, make me secretary of state!",1
"Based on policy and his cabinet asking non #Trumpers to give @realDonaldTrump a ""chance"" is absolutely rediculess.  #Aftermath #TRUMP",1
